TaskID,OriginalRegion,NewRegion,OriginalStartHour,NewStartHour,EstimatedEnergySaving_CNY,Scenario,Iteration
7820,RegionD,RegionD,809.0,798.0,18668.013977599945,最低碳排放端点_联合协调,2
15039,RegionD,RegionF,984.0,984.0,18659.14368,最低碳排放端点_联合协调,2
13067,RegionD,RegionD,405.0,411.0,18657.22245119995,最低碳排放端点_联合协调,2
958,RegionD,RegionD,1941.0,1948.0,18646.77375999984,最低碳排放端点_联合协调,2
27732,RegionE,RegionF,911.0,911.0,18645.088,最低碳排放端点_联合协调,2
43895,RegionD,RegionF,2279.0,2279.0,18599.95822079987,最低碳排放端点_联合协调,2
17929,RegionD,RegionD,1673.0,1667.0,18596.33834666636,最低碳排放端点_联合协调,2
40027,RegionD,RegionD,2086.0,2093.0,18581.73207893348,最低碳排放端点_联合协调,2
7081,RegionD,RegionE,1433.0,1426.0,18571.378722133184,最低碳排放端点_联合协调,2
36001,RegionD,RegionD,2108.0,2095.0,18505.764659199285,最低碳排放端点_联合协调,2
48064,RegionD,RegionD,1678.0,1683.0,18465.40861439964,最低碳排放端点_联合协调,2
39227,RegionD,RegionD,1577.0,1570.0,18446.68600320036,最低碳排放端点_联合协调,2
23206,RegionF,RegionF,672.0,679.0,18384.506539625745,最低碳排放端点_联合协调,2
9389,RegionD,RegionD,69.0,75.0,18355.92908799998,最低碳排放端点_联合协调,2
45446,RegionD,RegionD,1097.0,1094.0,18341.790685865923,最低碳排放端点_联合协调,2
14163,RegionD,RegionD,689.0,684.0,18337.74694399978,最低碳排放端点_联合协调,2
32517,RegionD,RegionD,24.0,28.0,18304.393216,最低碳排放端点_联合协调,2
33046,RegionD,RegionF,401.0,394.0,18302.971392000003,最低碳排放端点_联合协调,2
25321,RegionD,RegionD,596.0,585.0,18272.43519999969,最低碳排放端点_联合协调,2
30201,RegionF,RegionD,2034.0,2043.0,18263.81107199968,最低碳排放端点_联合协调,2
17031,RegionD,RegionD,213.0,220.0,18249.326318933323,最低碳排放端点_联合协调,2
4497,RegionD,RegionE,2016.0,2015.0,18209.5872,最低碳排放端点_联合协调,2
9951,RegionD,RegionD,2016.0,2020.0,18209.5872,最低碳排放端点_联合协调,2
48791,RegionD,RegionD,2254.0,2259.0,18173.194240000004,最低碳排放端点_联合协调,2
44844,RegionD,RegionE,645.0,644.0,18171.151701333467,最低碳排放端点_联合协调,2
48703,RegionD,RegionF,24.0,24.0,18123.1616,最低碳排放端点_联合协调,2
48686,RegionD,RegionD,2231.0,2236.0,18076.151808,最低碳排放端点_联合协调,2
26976,RegionD,RegionE,1099.0,1099.0,18071.95204266645,最低碳排放端点_联合协调,2
48212,RegionD,RegionA,449.0,443.0,18060.003464533365,最低碳排放端点_联合协调,2
3552,RegionD,RegionE,2181.0,2181.0,18053.83038293321,最低碳排放端点_联合协调,2
11797,RegionD,RegionF,1605.0,1604.0,18045.29664,最低碳排放端点_联合协调,2
2172,RegionF,RegionD,1222.0,1227.0,18032.263046399647,最低碳排放端点_联合协调,2
24120,RegionF,RegionD,2039.0,2043.0,18031.460812800065,最低碳排放端点_联合协调,2
30913,RegionD,RegionF,285.0,243.0,17992.629725866806,最低碳排放端点_联合协调,2
16731,RegionD,RegionF,1007.0,1007.0,17977.897267199958,最低碳排放端点_联合协调,2
16865,RegionD,RegionD,1007.0,1011.0,17972.845772800072,最低碳排放端点_联合协调,2
25373,RegionD,RegionD,719.0,725.0,17961.451519999995,最低碳排放端点_联合协调,2
28899,RegionD,RegionF,2280.0,2280.0,17947.067187200988,最低碳排放端点_联合协调,2
13169,RegionD,RegionF,2273.0,2266.0,17945.32157440013,最低碳排放端点_联合协调,2
41788,RegionD,RegionE,2184.0,2184.0,17917.666099199858,最低碳排放端点_联合协调,2
15810,RegionD,RegionD,21.0,28.0,17907.949055999994,最低碳排放端点_联合协调,2
27049,RegionD,RegionE,2086.0,2084.0,17879.06153813305,最低碳排放端点_联合协调,2
48419,RegionE,RegionF,1534.0,1534.0,17877.62546666637,最低碳排放端点_联合协调,2
32343,RegionD,RegionF,1243.0,1234.0,17819.633663999997,最低碳排放端点_联合协调,2
34125,RegionD,RegionD,743.0,748.0,17742.047914666553,最低碳排放端点_联合协调,2
30521,RegionD,RegionA,1889.0,1884.0,17740.82488320044,最低碳排放端点_联合协调,2
33023,RegionD,RegionD,813.0,818.0,17722.79808,最低碳排放端点_联合协调,2
48493,RegionF,RegionF,187.0,199.0,17721.393868800034,最低碳排放端点_联合协调,2
23780,RegionD,RegionD,1581.0,1587.0,17699.053568000287,最低碳排放端点_联合协调,2
39149,RegionD,RegionD,1001.0,996.0,17654.24742399985,最低碳排放端点_联合协调,2
12012,RegionD,RegionD,645.0,651.0,17640.972288,最低碳排放端点_联合协调,2
25470,RegionD,RegionA,329.0,325.0,17634.93949440002,最低碳排放端点_联合协调,2
48491,RegionD,RegionE,1053.0,1051.0,17617.818692266894,最低碳排放端点_联合协调,2
31246,RegionD,RegionE,811.0,800.0,17606.91824639989,最低碳排放端点_联合协调,2
14755,RegionD,RegionE,1481.0,1476.0,17605.23202559963,最低碳排放端点_联合协调,2
891,RegionD,RegionF,1968.0,1968.0,17594.800127999635,最低碳排放端点_联合协调,2
1611,RegionD,RegionF,2033.0,2027.0,17592.16435200018,最低碳排放端点_联合协调,2
13451,RegionD,RegionF,406.0,406.0,17592.1152,最低碳排放端点_联合协调,2
29356,RegionD,RegionD,569.0,565.0,17576.165376000114,最低碳排放端点_联合协调,2
20117,RegionD,RegionF,2185.0,2188.0,17552.9984,最低碳排放端点_联合协调,2
21266,RegionD,RegionC,2203.0,2203.0,17536.91818666728,最低碳排放端点_联合协调,2
26214,RegionD,RegionD,857.0,852.0,17530.49088,最低碳排放端点_联合协调,2
39786,RegionD,RegionD,1269.0,1275.0,17528.825651199953,最低碳排放端点_联合协调,2
22098,RegionE,RegionF,1245.0,1246.0,17521.442400000273,最低碳排放端点_联合协调,2
22796,RegionD,RegionD,813.0,818.0,17495.58272,最低碳排放端点_联合协调,2
17024,RegionD,RegionD,932.0,921.0,17425.39407359993,最低碳排放端点_联合协调,2
27501,RegionF,RegionF,1418.0,1422.0,17376.308655999997,最低碳排放端点_联合协调,2
39466,RegionD,RegionE,929.0,925.0,17361.89706239991,最低碳排放端点_联合协调,2
18699,RegionD,RegionF,742.0,741.0,17359.566165333297,最低碳排放端点_联合协调,2
28445,RegionD,RegionF,932.0,921.0,17348.29056,最低碳排放端点_联合协调,2
9848,RegionD,RegionD,744.0,748.0,17244.039168000003,最低碳排放端点_联合协调,2
16907,RegionE,RegionF,861.0,861.0,17220.94439999996,最低碳排放端点_联合协调,2
9958,RegionD,RegionD,2185.0,2189.0,17201.938432,最低碳排放端点_联合协调,2
